[1, 12, "1.12.1.1", 2, 1, "", "", "", "", 1, ""]
[1, 12, "1.12.1.1", 3, 1, "", "", "", "", 1, ""]
[1, 12, "1.12.1.1", 5, 1, "", "", "", "", 1, ""]
[1, 12, "1.12.1.1", 7, 1, "", "", "", "", 1, ""]
[1, 12, "1.12.1.1", 11, 1, "", "", "", "", 1, ""]
[1, 12, "1.12.1.1", 13, 1, "", "", "", "", 1, ""]
[1, 16, "1.16.1.1", 2, 1, "", "", "", "", 1, ""]
[1, 16, "1.16.1.1", 3, 1, "", "", "", "", 1, ""]
[1, 16, "1.16.1.1", 5, 1, "", "", "", "", 1, ""]
[1, 16, "1.16.1.1", 7, 1, "", "", "", "", 1, ""]
[1, 16, "1.16.1.1", 11, 1, "", "", "", "", 1, ""]
[1, 16, "1.16.1.1", 13, 1, "", "", "", "", 1, ""]
[1, 18, "1.18.1.1", 2, 1, "", "", "", "", 1, ""]
[1, 18, "1.18.1.1", 3, 1, "", "", "", "", 1, ""]
[1, 18, "1.18.1.1", 5, 1, "", "", "", "", 1, ""]
[1, 18, "1.18.1.1", 7, 1, "", "", "", "", 1, ""]
[1, 18, "1.18.1.1", 11, 1, "", "", "", "", 1, ""]
[1, 18, "1.18.1.1", 13, 1, "", "", "", "", 1, ""]
[1, 20, "1.20.1.1", 2, 1, "", "", "", "", 1, ""]
[1, 20, "1.20.1.1", 3, 1, "", "", "", "", 1, ""]
[1, 20, "1.20.1.1", 5, 1, "", "", "", "", 1, ""]
[1, 20, "1.20.1.1", 7, 1, "", "", "", "", 1, ""]
[1, 20, "1.20.1.1", 11, 1, "", "", "", "", 1, ""]
[1, 20, "1.20.1.1", 13, 1, "", "", "", "", 1, ""]
[1, 22, "1.22.1.1", 2, 1, "", "", "", "", 1, ""]
[1, 22, "1.22.1.1", 3, 1, "", "", "", "", 1, ""]
[1, 22, "1.22.1.1", 5, 1, "", "", "", "", 1, ""]
[1, 22, "1.22.1.1", 7, 1, "", "", "", "", 1, ""]
[1, 22, "1.22.1.1", 11, 1, "", "", "", "", 1, ""]
